doctor_id,doctor_name,specialization,experience
101,Doctor_101,Pediatrician,21
102,Doctor_102,Cardiologist,8
103,Doctor_103,Neurologist,26
104,Doctor_104,Physician,33
105,Doctor_105,Pediatrician,1
106,Doctor_106,Dermatologist,35
107,Doctor_107,Pediatrician,30
108,Doctor_108,Cardiologist,27
109,Doctor_109,Cardiologist,4
110,Doctor_110,Cardiologist,13
111,Doctor_111,Pediatrician,34
112,Doctor_112,Orthopedic,24
113,Doctor_113,Neurologist,32
114,Doctor_114,Pediatrician,29
115,Doctor_115,Dermatologist,4
116,Doctor_116,Dermatologist,14
117,Doctor_117,Dermatologist,18
118,Doctor_118,Neurologist,9
119,Doctor_119,Physician,19
120,Doctor_120,Cardiologist,29
121,Doctor_121,Neurologist,32
122,Doctor_122,Cardiologist,8
123,Doctor_123,Neurologist,2
124,Doctor_124,Cardiologist,16
125,Doctor_125,Neurologist,11
126,Doctor_126,Physician,20
127,Doctor_127,Pediatrician,1
128,Doctor_128,Dermatologist,27
129,Doctor_129,Cardiologist,6
130,Doctor_130,Neurologist,15
131,Doctor_131,Physician,8
132,Doctor_132,Physician,30
133,Doctor_133,Dermatologist,8
134,Doctor_134,Neurologist,10
135,Doctor_135,Pediatrician,32
136,Doctor_136,Cardiologist,19
137,Doctor_137,Pediatrician,33
138,Doctor_138,Orthopedic,18
139,Doctor_139,Physician,27
140,Doctor_140,Physician,31
141,Doctor_141,Dermatologist,31
142,Doctor_142,Neurologist,16
143,Doctor_143,Orthopedic,30
144,Doctor_144,Orthopedic,10
145,Doctor_145,Orthopedic,25
146,Doctor_146,Neurologist,13
147,Doctor_147,Cardiologist,33
148,Doctor_148,Physician,9
149,Doctor_149,Neurologist,5
150,Doctor_150,Orthopedic,18
151,Doctor_151,Physician,27
152,Doctor_152,Physician,22
153,Doctor_153,Orthopedic,33
154,Doctor_154,Orthopedic,18
155,Doctor_155,Physician,1
156,Doctor_156,Dermatologist,19
157,Doctor_157,Pediatrician,20
158,Doctor_158,Pediatrician,32
159,Doctor_159,Physician,10
160,Doctor_160,Cardiologist,29
161,Doctor_161,Cardiologist,35
162,Doctor_162,Dermatologist,31
163,Doctor_163,Neurologist,23
164,Doctor_164,Physician,22
165,Doctor_165,Cardiologist,35
166,Doctor_166,Physician,25
167,Doctor_167,Dermatologist,30
168,Doctor_168,Orthopedic,21
169,Doctor_169,Dermatologist,13
170,Doctor_170,Dermatologist,16
171,Doctor_171,Dermatologist,25
172,Doctor_172,Cardiologist,15
173,Doctor_173,Dermatologist,27
174,Doctor_174,Orthopedic,3
175,Doctor_175,Orthopedic,21
176,Doctor_176,Orthopedic,31
177,Doctor_177,Neurologist,25
178,Doctor_178,Dermatologist,25
179,Doctor_179,Orthopedic,10
180,Doctor_180,Neurologist,32
181,Doctor_181,Dermatologist,3
182,Doctor_182,Dermatologist,9
183,Doctor_183,Physician,33
184,Doctor_184,Dermatologist,22
185,Doctor_185,Pediatrician,7
186,Doctor_186,Physician,29
187,Doctor_187,Cardiologist,7
188,Doctor_188,Pediatrician,34
189,Doctor_189,Cardiologist,30
190,Doctor_190,Neurologist,1
191,Doctor_191,Pediatrician,10
192,Doctor_192,Physician,27
193,Doctor_193,Cardiologist,10
194,Doctor_194,Cardiologist,5
195,Doctor_195,Cardiologist,31
196,Doctor_196,Dermatologist,17
197,Doctor_197,Physician,22
198,Doctor_198,Cardiologist,26
199,Doctor_199,Physician,6
200,Doctor_200,Orthopedic,22
201,Doctor_201,Orthopedic,35
202,Doctor_202,Pediatrician,25
203,Doctor_203,Dermatologist,21
204,Doctor_204,Orthopedic,32
205,Doctor_205,Neurologist,35
206,Doctor_206,Physician,3
207,Doctor_207,Cardiologist,5
208,Doctor_208,Neurologist,16
209,Doctor_209,Pediatrician,19
210,Doctor_210,Neurologist,15
211,Doctor_211,Pediatrician,6
212,Doctor_212,Orthopedic,28
213,Doctor_213,Physician,7
214,Doctor_214,Pediatrician,7
215,Doctor_215,Cardiologist,29
216,Doctor_216,Neurologist,11
217,Doctor_217,Pediatrician,20
218,Doctor_218,Dermatologist,2
219,Doctor_219,Pediatrician,3
220,Doctor_220,Cardiologist,21
221,Doctor_221,Orthopedic,4
222,Doctor_222,Physician,19
223,Doctor_223,Dermatologist,23
224,Doctor_224,Cardiologist,24
225,Doctor_225,Pediatrician,28
226,Doctor_226,Cardiologist,10
227,Doctor_227,Neurologist,16
228,Doctor_228,Cardiologist,34
229,Doctor_229,Physician,27
230,Doctor_230,Physician,12
231,Doctor_231,Cardiologist,11
232,Doctor_232,Neurologist,12
233,Doctor_233,Dermatologist,6
234,Doctor_234,Pediatrician,25
235,Doctor_235,Dermatologist,16
236,Doctor_236,Neurologist,32
237,Doctor_237,Orthopedic,10
238,Doctor_238,Physician,15
239,Doctor_239,Orthopedic,30
240,Doctor_240,Pediatrician,17
241,Doctor_241,Neurologist,30
242,Doctor_242,Pediatrician,17
243,Doctor_243,Orthopedic,1
244,Doctor_244,Neurologist,30
245,Doctor_245,Dermatologist,19
246,Doctor_246,Dermatologist,35
247,Doctor_247,Orthopedic,11
248,Doctor_248,Orthopedic,5
249,Doctor_249,Physician,29
250,Doctor_250,Dermatologist,23
